State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Prakasam,2024-03-18,2024,03,0.0,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-03-19,2024,03,0.0,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-03-28,2024,03,0.0,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-04-06,2024,04,0.0,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-04-08,2024,04,0.0006120462,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-04-12,2024,04,0.0450187685,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-04-20,2024,04,0.4752441655,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-04-26,2024,04,0.0,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-05-03,2024,05,0.0,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-05-04,2024,05,0.0,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-05-05,2024,05,0.0,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-05-11,2024,05,0.0279635203,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-05-22,2024,05,1.6350549517,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-05-24,2024,05,1.3539846667,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-05-31,2024,05,0.0,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-06-03,2024,06,14.8859350212,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-06-06,2024,06,15.429043887,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-06-09,2024,06,13.018327116,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-06-11,2024,06,0.9696255835,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-06-20,2024,06,0.4579771858,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-06-21,2024,06,0.0,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-06-22,2024,06,0.7688918205,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-06-25,2024,06,0.6886346264,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-07-07,2024,07,1.6248842145,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-07-14,2024,07,0.860368297,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-07-18,2024,07,2.4812274923,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-07-19,2024,07,9.5408530127,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-07-26,2024,07,2.088385326,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-07-27,2024,07,0.9290857797,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-08-01,2024,08,2.4348338408,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-08-05,2024,08,0.2644912736,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-08-25,2024,08,1.8514436467,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-09-15,2024,09,0.0162423071,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-09-25,2024,09,7.2155374238,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-10-29,2024,10,5.64279e-05,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-10-31,2024,10,1.8625005669,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-11-18,2024,11,0.0947380057,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-11-22,2024,11,0.0584159299,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-12-07,2024,12,0.494334882,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-12-09,2024,12,0.0254721563,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-12-10,2024,12,0.0,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-12-12,2024,12,0.7212840108,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-12-23,2024,12,0.0032244557,NRSC VIC MODEL
Andhra Pradesh,Prakasam,2024-12-31,2024,12,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-01-03,2024,01,0.0133194429,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-01-11,2024,01,0.021716994,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-01-21,2024,01,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-01-28,2024,01,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-02-05,2024,02,0.0,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-02-10,2024,02,0.0,NRSC VIC MODEL
