SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Temperature (ºC),Turbidity (NTU)
1,Addanki,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2012 00:00,"",
2,Addanki-new,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki-new,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2000 00:00,"",
3,Addanki-new,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki-new,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2001 00:00,"",
4,Addanki-new,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki-new,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2002 00:00,"",
5,Addanki-new,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki-new,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2006 00:00,"",
6,Addanki-new,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki-new,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2007 00:00,"",
7,Addanki-new,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki-new,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2008 00:00,"",
8,Addanki-new,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki-new,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2009 00:00,"",
9,Addanki-new,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki-new,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2010 00:00,"",
10,Addanki-new,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki-new,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2012 00:00,"",
11,Addanki-new,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki-new,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2013 00:00,"",
12,Addanki-new,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki-new,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2014 00:00,"",
13,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2000 00:00,"",
14,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2002 00:00,"",
15,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2003 00:00,"",
16,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2004 00:00,"",
17,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2005 00:00,"",
18,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2006 00:00,"",
19,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2007 00:00,"",
20,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2008 00:00,"",
21,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2009 00:00,"",
22,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2010 00:00,"",
23,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2011 00:00,"",
24,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2012 00:00,"",
25,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2013 00:00,"",
26,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2014 00:00,"",
27,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2015 00:00,"",
28,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2016 00:00,"",
29,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2017 00:00,"",
30,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2018 00:00,"",
31,Addateegala,CGWB,28,Andhra Pradesh,505,EAST GODAVARI,ADDATIGALA,ADDATIGALA,Addateegala,-,-,-,-,-,-,17.47833333,82.01861111,25-05-2000 00:00,"",
32,Addateegala,CGWB,28,Andhra Pradesh,505,EAST GODAVARI,ADDATIGALA,ADDATIGALA,Addateegala,-,-,-,-,-,-,17.47833333,82.01861111,25-05-2002 00:00,"",
33,Addateegala,CGWB,28,Andhra Pradesh,505,EAST GODAVARI,ADDATIGALA,ADDATIGALA,Addateegala,-,-,-,-,-,-,17.47833333,82.01861111,25-05-2004 00:00,"",
34,Addateegala,CGWB,28,Andhra Pradesh,505,EAST GODAVARI,ADDATIGALA,ADDATIGALA,Addateegala,-,-,-,-,-,-,17.47833333,82.01861111,25-05-2005 00:00,"",
35,Addateegala,CGWB,28,Andhra Pradesh,505,EAST GODAVARI,ADDATIGALA,ADDATIGALA,Addateegala,-,-,-,-,-,-,17.47833333,82.01861111,25-05-2006 00:00,"",
36,Addateegala,CGWB,28,Andhra Pradesh,505,EAST GODAVARI,ADDATIGALA,ADDATIGALA,Addateegala,-,-,-,-,-,-,17.47833333,82.01861111,25-05-2007 00:00,"",
37,Addateegala,CGWB,28,Andhra Pradesh,505,EAST GODAVARI,ADDATIGALA,ADDATIGALA,Addateegala,-,-,-,-,-,-,17.47833333,82.01861111,25-05-2008 00:00,"",
38,Addateegala,CGWB,28,Andhra Pradesh,505,EAST GODAVARI,ADDATIGALA,ADDATIGALA,Addateegala,-,-,-,-,-,-,17.47833333,82.01861111,25-05-2009 00:00,"",
39,Addateegala,CGWB,28,Andhra Pradesh,505,EAST GODAVARI,ADDATIGALA,ADDATIGALA,Addateegala,-,-,-,-,-,-,17.47833333,82.01861111,25-05-2010 00:00,"",
40,Addateegala,CGWB,28,Andhra Pradesh,505,EAST GODAVARI,ADDATIGALA,ADDATIGALA,Addateegala,-,-,-,-,-,-,17.47833333,82.01861111,25-05-2011 00:00,"",
41,Addateegala,CGWB,28,Andhra Pradesh,505,EAST GODAVARI,ADDATIGALA,ADDATIGALA,Addateegala,-,-,-,-,-,-,17.47833333,82.01861111,25-05-2012 00:00,"",
42,Addateegala,CGWB,28,Andhra Pradesh,505,EAST GODAVARI,ADDATIGALA,ADDATIGALA,Addateegala,-,-,-,-,-,-,17.47833333,82.01861111,25-05-2013 00:00,"",
43,Addateegala,CGWB,28,Andhra Pradesh,505,EAST GODAVARI,ADDATIGALA,ADDATIGALA,Addateegala,-,-,-,-,-,-,17.47833333,82.01861111,25-05-2015 00:00,"",
44,Addateegala,CGWB,28,Andhra Pradesh,505,EAST GODAVARI,ADDATIGALA,ADDATIGALA,Addateegala,-,-,-,-,-,-,17.47833333,82.01861111,25-05-2016 00:00,"",
45,Addateegala,CGWB,28,Andhra Pradesh,505,EAST GODAVARI,ADDATIGALA,ADDATIGALA,Addateegala,-,-,-,-,-,-,17.47833333,82.01861111,25-05-2017 00:00,"",
46,Addateegala,CGWB,28,Andhra Pradesh,505,EAST GODAVARI,ADDATIGALA,ADDATIGALA,Addateegala,-,-,-,-,-,-,17.47833333,82.01861111,25-05-2018 00:00,"",
47,Ademmasatram-DW13,CGWB,28,Andhra Pradesh,515,NELLORE,INDUKURUPETA,INDUKURUPETA,Ademmasatram,-,-,-,-,-,-,14.48222222,80.08944444,25-05-2013 00:00,"",
48,Ademmasatram-DW13,CGWB,28,Andhra Pradesh,515,NELLORE,INDUKURUPETA,INDUKURUPETA,Ademmasatram,-,-,-,-,-,-,14.48222222,80.08944444,25-05-2014 00:00,"",
49,Ademmasatram-DW13,CGWB,28,Andhra Pradesh,515,NELLORE,INDUKURUPETA,INDUKURUPETA,Ademmasatram,-,-,-,-,-,-,14.48222222,80.08944444,25-05-2015 00:00,"",
50,Adivi Brahmanapalli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,MUDIGUBBA,MUDIGUBBA,Adivi Brahmanapalli,-,-,-,-,-,-,14.35333333,78.03750000,25-05-2000 00:00,"",
51,Adivi Brahmanapalli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,MUDIGUBBA,MUDIGUBBA,Adivi Brahmanapalli,-,-,-,-,-,-,14.35333333,78.03750000,25-05-2002 00:00,"",
52,Adivi Brahmanapalli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,MUDIGUBBA,MUDIGUBBA,Adivi Brahmanapalli,-,-,-,-,-,-,14.35333333,78.03750000,25-05-2003 00:00,"",
53,Adivi Brahmanapalli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,MUDIGUBBA,MUDIGUBBA,Adivi Brahmanapalli,-,-,-,-,-,-,14.35333333,78.03750000,25-05-2005 00:00,"",
54,Adivi Brahmanapalli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,MUDIGUBBA,MUDIGUBBA,Adivi Brahmanapalli,-,-,-,-,-,-,14.35333333,78.03750000,25-05-2006 00:00,"",
55,Adivi Brahmanapalli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,MUDIGUBBA,MUDIGUBBA,Adivi Brahmanapalli,-,-,-,-,-,-,14.35333333,78.03750000,25-05-2007 00:00,"",
56,Adivi Brahmanapalli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,MUDIGUBBA,MUDIGUBBA,Adivi Brahmanapalli,-,-,-,-,-,-,14.35333333,78.03750000,25-05-2008 00:00,"",
57,Adivi Brahmanapalli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,MUDIGUBBA,MUDIGUBBA,Adivi Brahmanapalli,-,-,-,-,-,-,14.35333333,78.03750000,25-05-2010 00:00,"",
58,Adivi Brahmanapalli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,MUDIGUBBA,MUDIGUBBA,Adivi Brahmanapalli,-,-,-,-,-,-,14.35333333,78.03750000,25-05-2011 00:00,"",
59,Adivi Brahmanapalli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,MUDIGUBBA,MUDIGUBBA,Adivi Brahmanapalli,-,-,-,-,-,-,14.35333333,78.03750000,25-05-2012 00:00,"",
60,Adivi Brahmanapalli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,MUDIGUBBA,MUDIGUBBA,Adivi Brahmanapalli,-,-,-,-,-,-,14.35333333,78.03750000,25-05-2013 00:00,"",
61,Adivi Brahmanapalli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,MUDIGUBBA,MUDIGUBBA,Adivi Brahmanapalli,-,-,-,-,-,-,14.35333333,78.03750000,25-05-2014 00:00,"",
62,Adivi Brahmanapalli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,MUDIGUBBA,MUDIGUBBA,Adivi Brahmanapalli,-,-,-,-,-,-,14.35333333,78.03750000,25-05-2015 00:00,"",
63,Adivi Brahmanapalli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,MUDIGUBBA,MUDIGUBBA,Adivi Brahmanapalli,-,-,-,-,-,-,14.35333333,78.03750000,25-05-2016 00:00,"",
64,Adivi Brahmanapalli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,MUDIGUBBA,MUDIGUBBA,Adivi Brahmanapalli,-,-,-,-,-,-,14.35333333,78.03750000,25-05-2017 00:00,"",
65,Adivi Brahmanapalli,CGWB,28,Andhra Pradesh,502,ANANTAPUR,MUDIGUBBA,MUDIGUBBA,Adivi Brahmanapalli,-,-,-,-,-,-,14.35333333,78.03750000,25-05-2018 00:00,"",
66,Adoni Kota Veerabhadraswamigudi-DW14,CGWB,28,Andhra Pradesh,511,KURNOOL,ADONI,-,-,-,-,-,-,-,-,15.66666667,77.28750000,25-05-2014 00:00,"",
67,Adoni Kota Veerabhadraswamigudi-DW14,CGWB,28,Andhra Pradesh,511,KURNOOL,ADONI,-,-,-,-,-,-,-,-,15.66666667,77.28750000,25-05-2015 00:00,"",
68,Adoni Kota Veerabhadraswamigudi-DW14,CGWB,28,Andhra Pradesh,511,KURNOOL,ADONI,-,-,-,-,-,-,-,-,15.66666667,77.28750000,25-05-2017 00:00,"",
69,Adoni Kota Veerabhadraswamigudi-DW14,CGWB,28,Andhra Pradesh,511,KURNOOL,ADONI,-,-,-,-,-,-,-,-,15.66666667,77.28750000,25-05-2018 00:00,"",
70,Aduripalle 2013Dw,CGWB,28,Andhra Pradesh,515,NELLORE,CHEJERLA,CHEJERLA,Aduripalle-Dw,-,-,-,-,-,-,14.44666667,79.60472222,25-05-2013 00:00,"",
71,Aduripalle 2013Dw,CGWB,28,Andhra Pradesh,515,NELLORE,CHEJERLA,CHEJERLA,Aduripalle-Dw,-,-,-,-,-,-,14.44666667,79.60472222,25-05-2014 00:00,"",
72,Agiripalli,CGWB,28,Andhra Pradesh,510,KRISHNA,AGIRIPALLE,AGIRIPALLE,Agiripalli,-,-,-,-,-,-,16.68027778,80.79138889,25-05-2000 00:00,"",
73,Agiripalli,CGWB,28,Andhra Pradesh,510,KRISHNA,AGIRIPALLE,AGIRIPALLE,Agiripalli,-,-,-,-,-,-,16.68027778,80.79138889,25-05-2001 00:00,"",
74,Agiripalli,CGWB,28,Andhra Pradesh,510,KRISHNA,AGIRIPALLE,AGIRIPALLE,Agiripalli,-,-,-,-,-,-,16.68027778,80.79138889,25-05-2002 00:00,"",
75,Agiripalli,CGWB,28,Andhra Pradesh,510,KRISHNA,AGIRIPALLE,AGIRIPALLE,Agiripalli,-,-,-,-,-,-,16.68027778,80.79138889,25-05-2004 00:00,"",
76,Agiripalli,CGWB,28,Andhra Pradesh,510,KRISHNA,AGIRIPALLE,AGIRIPALLE,Agiripalli,-,-,-,-,-,-,16.68027778,80.79138889,25-05-2006 00:00,"",
77,Agiripalli,CGWB,28,Andhra Pradesh,510,KRISHNA,AGIRIPALLE,AGIRIPALLE,Agiripalli,-,-,-,-,-,-,16.68027778,80.79138889,25-05-2008 00:00,"",
78,Agraharam,CGWB,28,Andhra Pradesh,521,VIZIANAGARAM,THERLAM,THERLAM,Agraharam,-,-,-,-,-,-,18.45000000,83.53333333,25-05-2002 00:00,"",
79,Agraharam,CGWB,28,Andhra Pradesh,521,VIZIANAGARAM,THERLAM,THERLAM,Agraharam,-,-,-,-,-,-,18.45000000,83.53333333,25-05-2004 00:00,"",
80,Agraharam,CGWB,28,Andhra Pradesh,521,VIZIANAGARAM,THERLAM,THERLAM,Agraharam,-,-,-,-,-,-,18.45000000,83.53333333,25-05-2005 00:00,"",
81,Agraharam,CGWB,28,Andhra Pradesh,521,VIZIANAGARAM,THERLAM,THERLAM,Agraharam,-,-,-,-,-,-,18.45000000,83.53333333,25-05-2007 00:00,"",
82,Agraharam,CGWB,28,Andhra Pradesh,521,VIZIANAGARAM,THERLAM,THERLAM,Agraharam,-,-,-,-,-,-,18.45000000,83.53333333,25-05-2008 00:00,"",
83,Agraharam,CGWB,28,Andhra Pradesh,521,VIZIANAGARAM,THERLAM,THERLAM,Agraharam,-,-,-,-,-,-,18.45000000,83.53333333,25-05-2009 00:00,"",
84,Agraharam,CGWB,28,Andhra Pradesh,521,VIZIANAGARAM,THERLAM,THERLAM,Agraharam,-,-,-,-,-,-,18.45000000,83.53333333,25-05-2010 00:00,"",
85,Agraharam,CGWB,28,Andhra Pradesh,521,VIZIANAGARAM,THERLAM,THERLAM,Agraharam,-,-,-,-,-,-,18.45000000,83.53333333,25-05-2012 00:00,"",
86,Agraharam,CGWB,28,Andhra Pradesh,521,VIZIANAGARAM,THERLAM,THERLAM,Agraharam,-,-,-,-,-,-,18.45000000,83.53333333,25-05-2013 00:00,"",
87,Agraharam,CGWB,28,Andhra Pradesh,521,VIZIANAGARAM,THERLAM,THERLAM,Agraharam,-,-,-,-,-,-,18.45000000,83.53333333,25-05-2014 00:00,"",
88,Agraharam,CGWB,28,Andhra Pradesh,521,VIZIANAGARAM,THERLAM,THERLAM,Agraharam,-,-,-,-,-,-,18.45000000,83.53333333,25-05-2015 00:00,"",
89,Agraharam,CGWB,28,Andhra Pradesh,521,VIZIANAGARAM,THERLAM,THERLAM,Agraharam,-,-,-,-,-,-,18.45000000,83.53333333,25-05-2016 00:00,"",
90,Agraharam,CGWB,28,Andhra Pradesh,521,VIZIANAGARAM,THERLAM,THERLAM,Agraharam,-,-,-,-,-,-,18.45000000,83.53333333,25-05-2017 00:00,"",
91,Agraharam,CGWB,28,Andhra Pradesh,521,VIZIANAGARAM,THERLAM,THERLAM,Agraharam,-,-,-,-,-,-,18.45000000,83.53333333,25-05-2018 00:00,"",
92,Agraharam-DW14,CGWB,28,Andhra Pradesh,517,PRAKASAM,MARRIPUDI,MARRIPUDI,Agraharam,-,-,-,-,-,-,15.59638889,79.73305556,25-05-2015 00:00,"",
93,Agraharam-DW14,CGWB,28,Andhra Pradesh,517,PRAKASAM,MARRIPUDI,MARRIPUDI,Agraharam,-,-,-,-,-,-,15.59638889,79.73305556,25-05-2016 00:00,"",
94,Ahobilam,CGWB,28,Andhra Pradesh,511,KURNOOL,ALLAGADDA,ALLAGADDA,Ahobilam,-,-,-,-,-,-,15.15305556,78.66666667,25-05-2002 00:00,"",
95,Ahobilam,CGWB,28,Andhra Pradesh,511,KURNOOL,ALLAGADDA,ALLAGADDA,Ahobilam,-,-,-,-,-,-,15.15305556,78.66666667,25-05-2003 00:00,"",
96,Ahobilam,CGWB,28,Andhra Pradesh,511,KURNOOL,ALLAGADDA,ALLAGADDA,Ahobilam,-,-,-,-,-,-,15.15305556,78.66666667,25-05-2004 00:00,"",
97,Ahobilam,CGWB,28,Andhra Pradesh,511,KURNOOL,ALLAGADDA,ALLAGADDA,Ahobilam,-,-,-,-,-,-,15.15305556,78.66666667,25-05-2005 00:00,"",
98,Ahobilam,CGWB,28,Andhra Pradesh,511,KURNOOL,ALLAGADDA,ALLAGADDA,Ahobilam,-,-,-,-,-,-,15.15305556,78.66666667,25-05-2006 00:00,"",
99,Ahobilam,CGWB,28,Andhra Pradesh,511,KURNOOL,ALLAGADDA,ALLAGADDA,Ahobilam,-,-,-,-,-,-,15.15305556,78.66666667,25-05-2007 00:00,"",
100,Ahobilam,CGWB,28,Andhra Pradesh,511,KURNOOL,ALLAGADDA,ALLAGADDA,Ahobilam,-,-,-,-,-,-,15.15305556,78.66666667,25-05-2008 00:00,"",
101,Ahobilam,CGWB,28,Andhra Pradesh,511,KURNOOL,ALLAGADDA,ALLAGADDA,Ahobilam,-,-,-,-,-,-,15.15305556,78.66666667,25-05-2009 00:00,"",
102,Ahobilam,CGWB,28,Andhra Pradesh,511,KURNOOL,ALLAGADDA,ALLAGADDA,Ahobilam,-,-,-,-,-,-,15.15305556,78.66666667,25-05-2010 00:00,"",
103,Ahobilam,CGWB,28,Andhra Pradesh,511,KURNOOL,ALLAGADDA,ALLAGADDA,Ahobilam,-,-,-,-,-,-,15.15305556,78.66666667,25-05-2011 00:00,"",
104,Ahobilam,CGWB,28,Andhra Pradesh,511,KURNOOL,ALLAGADDA,ALLAGADDA,Ahobilam,-,-,-,-,-,-,15.15305556,78.66666667,25-05-2012 00:00,"",
105,Ahobilam,CGWB,28,Andhra Pradesh,511,KURNOOL,ALLAGADDA,ALLAGADDA,Ahobilam,-,-,-,-,-,-,15.15305556,78.66666667,25-05-2013 00:00,"",
106,Ahobilam,CGWB,28,Andhra Pradesh,511,KURNOOL,ALLAGADDA,ALLAGADDA,Ahobilam,-,-,-,-,-,-,15.15305556,78.66666667,25-05-2014 00:00,"",
107,Ahobilam,CGWB,28,Andhra Pradesh,511,KURNOOL,ALLAGADDA,ALLAGADDA,Ahobilam,-,-,-,-,-,-,15.15305556,78.66666667,25-05-2015 00:00,"",
108,Ahobilam,CGWB,28,Andhra Pradesh,511,KURNOOL,ALLAGADDA,ALLAGADDA,Ahobilam,-,-,-,-,-,-,15.15305556,78.66666667,25-05-2018 00:00,"",
109,Ainavilli-DW14,CGWB,28,Andhra Pradesh,505,EAST GODAVARI,AINAVILLI,AINAVILLI,Ainavilli,-,-,-,-,-,-,16.66138889,82.01277778,25-05-2014 00:00,"",
110,Ainavilli-DW14,CGWB,28,Andhra Pradesh,505,EAST GODAVARI,AINAVILLI,AINAVILLI,Ainavilli,-,-,-,-,-,-,16.66138889,82.01277778,25-05-2016 00:00,"",
111,Ainavilli-DW14,CGWB,28,Andhra Pradesh,505,EAST GODAVARI,AINAVILLI,AINAVILLI,Ainavilli,-,-,-,-,-,-,16.66138889,82.01277778,25-05-2017 00:00,"",
112,Ainavilli-DW14,CGWB,28,Andhra Pradesh,505,EAST GODAVARI,AINAVILLI,AINAVILLI,Ainavilli,-,-,-,-,-,-,16.66138889,82.01277778,25-05-2018 00:00,"",
113,Aithabari,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Aithabari,-,-,-,-,-,-,26.73472222,91.35833333,25-05-2005 00:00,"",
114,Ajitsingnagar,CGWB,28,Andhra Pradesh,510,KRISHNA,VIJAYAWADA(U),VIJAYAWADA(U),Ajitsingnagar,-,-,-,-,-,-,16.54111111,80.64250000,25-05-2000 00:00,"",
115,Ajitsingnagar,CGWB,28,Andhra Pradesh,510,KRISHNA,VIJAYAWADA(U),VIJAYAWADA(U),Ajitsingnagar,-,-,-,-,-,-,16.54111111,80.64250000,25-05-2001 00:00,"",
116,Ajitsingnagar,CGWB,28,Andhra Pradesh,510,KRISHNA,VIJAYAWADA(U),VIJAYAWADA(U),Ajitsingnagar,-,-,-,-,-,-,16.54111111,80.64250000,25-05-2002 00:00,"",
117,Ajitsingnagar,CGWB,28,Andhra Pradesh,510,KRISHNA,VIJAYAWADA(U),VIJAYAWADA(U),Ajitsingnagar,-,-,-,-,-,-,16.54111111,80.64250000,25-05-2003 00:00,"",
118,Ajitsingnagar,CGWB,28,Andhra Pradesh,510,KRISHNA,VIJAYAWADA(U),VIJAYAWADA(U),Ajitsingnagar,-,-,-,-,-,-,16.54111111,80.64250000,25-05-2004 00:00,"",
119,Ajitsingnagar,CGWB,28,Andhra Pradesh,510,KRISHNA,VIJAYAWADA(U),VIJAYAWADA(U),Ajitsingnagar,-,-,-,-,-,-,16.54111111,80.64250000,25-05-2005 00:00,"",
120,Ajitsingnagar,CGWB,28,Andhra Pradesh,510,KRISHNA,VIJAYAWADA(U),VIJAYAWADA(U),Ajitsingnagar,-,-,-,-,-,-,16.54111111,80.64250000,25-05-2008 00:00,"",
121,Akiveedu-DW14,CGWB,28,Andhra Pradesh,523,WEST GODAVARI,AKIVEEDU,AKIVEEDU,Akiveedu,-,-,-,-,-,-,16.58277778,81.38888889,25-05-2014 00:00,"",
122,Akiveedu-DW14,CGWB,28,Andhra Pradesh,523,WEST GODAVARI,AKIVEEDU,AKIVEEDU,Akiveedu,-,-,-,-,-,-,16.58277778,81.38888889,25-05-2016 00:00,"",
123,Akiveedu-DW14,CGWB,28,Andhra Pradesh,523,WEST GODAVARI,AKIVEEDU,AKIVEEDU,Akiveedu,-,-,-,-,-,-,16.58277778,81.38888889,25-05-2017 00:00,"",
124,Akiveedu-DW14,CGWB,28,Andhra Pradesh,523,WEST GODAVARI,AKIVEEDU,AKIVEEDU,Akiveedu,-,-,-,-,-,-,16.58277778,81.38888889,25-05-2018 00:00,"",
125,Akkireddipalem 2010Pz,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,VISAKHAPATNAM(U),VISAKHAPATNAM(U),Visakhapatnam(U),-,-,-,-,-,-,17.70916667,83.20722222,25-05-2017 00:00,"",
126,Akkireddipalem 2010Pz,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,VISAKHAPATNAM(U),VISAKHAPATNAM(U),Visakhapatnam(U),-,-,-,-,-,-,17.70916667,83.20722222,25-05-2018 00:00,"",
127,Akola,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Akola,-,-,-,-,-,-,20.73666667,77.00722222,25-05-2000 00:00,"",
128,Akola,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Akola,-,-,-,-,-,-,20.73666667,77.00722222,25-05-2002 00:00,"",
129,Akola,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Akola,-,-,-,-,-,-,20.73666667,77.00722222,25-05-2003 00:00,"",
130,Akola,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Akola,-,-,-,-,-,-,20.73666667,77.00722222,25-05-2004 00:00,"",
131,Akola,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Akola,-,-,-,-,-,-,20.73666667,77.00722222,25-05-2005 00:00,"",
132,Akola,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Akola,-,-,-,-,-,-,20.73666667,77.00722222,25-05-2006 00:00,"",
133,Akola,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Akola,-,-,-,-,-,-,20.73666667,77.00722222,25-05-2007 00:00,"",
134,Akola,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Akola,-,-,-,-,-,-,20.73666667,77.00722222,25-05-2008 00:00,"",
135,Akola,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Akola,-,-,-,-,-,-,20.73666667,77.00722222,25-05-2011 00:00,"",
136,Akola,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Akola,-,-,-,-,-,-,20.73666667,77.00722222,25-05-2012 00:00,"",
137,Akola,CGWB,28,Andhra Pradesh,502,ANANTAPUR,SETTUR,-,Akola,-,-,-,-,-,-,20.73666667,77.00722222,25-05-2013 00:00,"",
